City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,reggane,26.7158,0.1714,41.57,10,0,5.61,DZ,1722284776
158,puerto ayora,-0.7393,-90.3518,27.98,95,86,3.13,EC,1722284777
159,portland,45.5234,-122.6762,19.23,91,100,3.09,US,1722284112
160,vennesla,58.2694,7.9741,18.68,61,0,4.63,NO,1722284780
161,inarajan village,13.2736,144.7484,26.89,95,51,3.48,GU,1722284781
162,alice,27.7523,-98.0697,34.09,55,20,6.17,US,1722284782
163,raduzhny,62.0961,77.475,17.44,77,75,2.26,RU,1722284783
164,nar'yan-mar,67.6713,53.087,10.58,82,100,5.96,RU,1722284786
165,vadso,70.0744,29.7487,14.09,82,75,2.57,NO,1722284787
166,whitehorse,60.7161,-135.0538,17.43,46,75,6.71,CA,1722284788
167,san sebastian de la gomera,28.0916,-17.1133,24.1,88,0,2.06,ES,1722284789
168,tura,25.5198,90.2201,25.7,95,100,2.97,IN,1722284791
169,la ronge,55.1001,-105.2842,29.12,34,40,2.57,CA,1722284792
170,kharp,66.8014,65.8081,16.2,92,97,4.93,RU,1722284793
171,souillac,-20.5167,57.5167,21.21,73,20,1.54,MU,1722284794
172,weligama,5.9667,80.4167,25.65,88,100,3.95,LK,1722284796
173,morehead city,34.7229,-76.726,28.34,67,0,4.63,US,1722284797
174,marana,32.4367,-111.2254,38.51,31,0,4.12,US,1722284535
175,kushiro,42.975,144.3747,19.53,100,100,7.72,JP,1722284799
176,jiangzi,28.95,89.6333,8.42,33,0,1.9,CN,1722284802
177,whangarei,-35.7317,174.3239,12.68,97,100,1.94,NZ,1722284803
178,tubarjal,30.4999,38.216,32.56,28,33,8.99,SA,1722284804
179,remire-montjoly,4.9167,-52.2667,30.02,74,75,6.17,GF,1722284805
180,richfield,44.8833,-93.283,31.2,59,20,3.6,US,1722284806
181,fada,7.25,4.0667,25.37,83,75,5.14,NG,1722284808
182,saynshand,44.8824,110.1163,25.01,44,95,4.04,MN,1722284809
183,vorgashor,67.5833,63.95,17.65,60,100,5.7,RU,1722284810
184,lindsay,36.203,-119.0882,34.87,31,0,4.12,US,1722284811
185,tralee,52.2704,-9.7026,15.14,100,100,2.57,IE,1722284812
186,mount pearl,47.5166,-52.7813,27.47,48,0,10.29,CA,1722284814
187,ola,59.5833,151.2833,12.45,73,100,0.64,RU,1722284815
188,saipan,15.1355,145.701,28.39,78,0,1.54,MP,1722284816
189,coquimbo,-29.9533,-71.3436,12.85,87,75,4.12,CL,1722284817
190,bestobe,52.4994,73.0975,17.57,58,41,2.37,KZ,1722284818
191,kailua-kona,19.6406,-155.9956,28.98,72,0,4.12,US,1722284821
192,negombo,7.2083,79.8358,25.03,83,75,5.66,LK,1722284823
193,bamboo flat,11.7,92.7167,28.05,89,75,1.03,IN,1722284824
194,nadym,65.5333,72.5167,17.33,86,100,3.52,RU,1722284826
195,parabel',58.6978,81.4825,13.87,91,0,2.76,RU,1722284827
196,nyurba,63.2842,118.3319,11.14,92,42,2.87,RU,1722284828
197,champoton,19.35,-90.7167,35.96,41,47,1.26,MX,1722284829
198,port mathurin,-19.6833,63.4167,21.9,68,21,6.21,MU,1722284830
199,mount isa,-20.7333,139.5,11.87,30,0,3.09,AU,1722284832
200,manokwari,-0.8667,134.0833,25.67,81,68,1.33,ID,1722284833
201,popondetta,-8.7537,148.2534,22.38,87,99,1.03,PG,1722284834
202,poyang,28.9924,116.6675,28.18,79,4,1.58,CN,1722284835
203,san clemente del tuyu,-36.3569,-56.7235,7.77,59,0,2.8,AR,1722284837
204,puerto deseado,-47.7503,-65.8938,5.5,55,66,7.22,AR,1722284838
205,guerrero negro,27.9769,-114.0611,23.86,63,23,8.48,MX,1722284839
206,drochia,48.035,27.8161,17.68,53,1,4.09,MD,1722284840
207,redcliff,-19.0333,29.7833,13.65,17,0,2.95,ZW,1722284841
208,hithadhoo,-0.6,73.0833,28.87,75,100,4.94,MV,1722284843
209,bolobo,-2.1667,16.2333,25.72,46,25,1.01,CD,1722284844
210,berriane,32.8265,3.7669,35.45,23,0,3.83,DZ,1722284845
211,naryn,41.4287,75.9911,16.76,58,14,3.17,KG,1722284846
212,birjand,32.8663,59.2211,27.26,26,0,6.17,IR,1722284847
213,mana,5.6592,-53.7767,27.85,83,17,5.19,GF,1722284849
214,powell river,49.8496,-124.5361,18.9,94,100,5.14,CA,1722284590
215,altud,43.7219,43.8658,22.25,45,0,0.68,RU,1722284851
216,naze,28.3667,129.4833,25.51,86,8,2.28,JP,1722284852
217,susice,49.2311,13.5202,17.01,75,0,1.4,CZ,1722284853
218,la passe,45.5549,-0.8967,33.13,68,2,2.95,FR,1722284854
219,rey bouba,8.6724,14.1786,23.13,92,100,1.33,CM,1722284856
220,moussoro,13.6408,16.4901,29.49,62,100,5.48,TD,1722284857
221,carolina beach,34.0352,-77.8936,28.33,63,100,4.92,US,1722284858
